"global_id";"ID";"DepartamentalAffiliation";"AdmArea";"District";"Location";"DogParkArea";"Elements";"Lighting";"Fencing";"Photo";"WorkingHours";"geoData";"geodata_center";
"global_id";"Код";"Ведомственная принадлежность";"Административный округ";"Район";"Адресный ориентир";"Площадь площадки (кв.м)";"Элементы площадки";"Освещение площадки";"Ограждение площадки";"Фотография";"График работы";"geoData";"geodata_center";
"272394056";"1";"Префектура Зеленоградского административного округа города Москвы";"Зеленоградский административный округ";"район Матушкино";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Матушкино, город Зеленоград, Панфиловский проспект, дом 3, строение 1";"640";"[барьер одинарный, бум для собак, скамья для собаководов, тренировочный снаряд с покрышкой, урна]";"нет";"да";"nested data";"nested data";"{coordinates=[37.209181, 56.012589], type=Point}";"";
"272394057";"2";"Префектура Зеленоградского административного округа города Москвы";"Зеленоградский административный округ";"район Матушкино";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Матушкино, город Зеленоград, корпус 249";"200";"[барьер одинарный, бум для собак, горка-мостик А-форма, скамья для собаководов, тренировочный снаряд с покрышкой, урна]";"нет";"да";"nested data";"nested data";"{coordinates=[37.201502, 56.003484], type=Point}";"";
"272394168";"3";"Префектура Зеленоградского административного округа города Москвы";"Зеленоградский административный округ";"район Матушкино";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Матушкино, город Зеленоград, корпус 442А";"260";"[барьер одинарный, бум для собак, скамья для собаководов, тренировочный снаряд с покрышкой, урна]";"нет";"да";"nested data";"nested data";"{coordinates=[37.205921, 55.992542], type=Point}";"";
"272397813";"4";"Префектура Зеленоградского административного округа города Москвы";"Зеленоградский административный округ";"район Силино";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Силино, город Зеленоград, корпус 1001";"1696";"[барьер одинарный, бум для собак, вышка-лестница (с перилами), скамья для собаководов, урна]";"нет";"да";"nested data";"nested data";"{coordinates=[37.182066, 55.988342], type=Point}";"{coordinates=[37.182066, 55.988342], type=Point}";
"272397821";"5";"Префектура Зеленоградского административного округа города Москвы";"Зеленоградский административный округ";"район Силино";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Силино, город Зеленоград, корпус 1007";"263";"[барьер одинарный, бум для собак, тренировочный снаряд с покрышкой]";"нет";"да";"nested data";"nested data";"{coordinates=[37.172859, 55.985571], type=Point}";"{coordinates=[37.172859, 55.985571], type=Point}";
"272397837";"30145";"Префектура Зеленоградского административного округа города Москвы";"Зеленоградский административный округ";"район Савёлки";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Савелки, город Зеленоград, корпус 702";"590";"[балансир для собак, барьер змейка, барьер кольца, бум для собак, горка-лестница (без перил), информационный стенд, скамья для собаководов, урна]";"да";"да";"nested data";"nested data";"{coordinates=[37.228775, 55.987653], type=Point}";"{coordinates=[37.228775, 55.987653], type=Point}";
"272397841";"82012";"Префектура Зеленоградского административного округа города Москвы";"Зеленоградский административный округ";"район Савёлки";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Савелки, город Зеленоград, корпус 345";"198";"[барьер кольца, горка-лестница (без перил), урна]";"нет";"да";"nested data";"nested data";"{coordinates=[37.219845, 55.994211], type=Point}";"{coordinates=[37.219845, 55.994211], type=Point}";
"272397851";"6";"Префектура Зеленоградского административного округа города Москвы";"Зеленоградский административный округ";"район Силино";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Силино, город Зеленоград, корпус 1113";"255";"[барьер кольца, бум для собак, горка-лестница (без перил), скамья для собаководов, урна]";"нет";"да";"nested data";"nested data";"{coordinates=[37.184917, 55.998517], type=Point}";"";
"272397852";"7";"Префектура Зеленоградского административного округа города Москвы";"Зеленоградский административный округ";"район Силино";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Силино, город Зеленоград, корпус 1201";"256";"[барьер одинарный, бум для собак, тренировочный снаряд с покрышкой]";"нет";"да";"nested data";"nested data";"{coordinates=[37.189398, 55.99216], type=Point}";"";
"272397854";"8";"Префектура Зеленоградского административного округа города Москвы";"Зеленоградский административный округ";"район Силино";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Силино, город Зеленоград, корпус 1211";"522";"[барьер двойной, бум для собак, вышка-лестница (с перилами), скамья для собаководов, урна]";"нет";"да";"nested data";"nested data";"{coordinates=[37.194674, 55.991429], type=Point}";"";
"272401214";"72157";"Префектура Зеленоградского административного округа города Москвы";"Зеленоградский административный округ";"район Савёлки";"город Москва, город Зеленоград, корпус 342, строение 1";"355";"[скамья для собаководов, урна]";"нет";"да";"nested data";"nested data";"{coordinates=[37.220455, 55.993805], type=Point}";"{coordinates=[37.220455, 55.993805], type=Point}";
"272401218";"52826";"Префектура Зеленоградского административного округа города Москвы";"Зеленоградский административный округ";"район Савёлки";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Савелки, город Зеленоград, корпус 521";"225";"[балансир для собак, барьер одинарный, горка-лестница (без перил)]";"нет";"да";"nested data";"nested data";"{coordinates=[37.234429, 56.001567], type=Point}";"{coordinates=[37.234429, 56.001567], type=Point}";
"272409820";"137";"Префектура Зеленоградского административного округа города Москвы";"Зеленоградский административный округ";"район Крюково";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Крюково, город Зеленоград, корпус 1801Б";"510";"[барьер одинарный, бум для собак, вышка-лестница (с перилами), скамья для собаководов, урна]";"нет";"да";"nested data";"nested data";"{coordinates=[37.167488, 55.978403], type=Point}";"";
"272410428";"75";"Префектура Зеленоградского административного округа города Москвы";"Зеленоградский административный округ";"район Крюково";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Крюково, город Зеленоград, корпус 2010";"429";"[барьер тройной, бум для собак, вышка-лестница (с перилами), скамья для собаководов, урна]";"нет";"да";"nested data";"nested data";"{coordinates=[37.166463, 55.975839], type=Point}";"";
"272410430";"136";"Префектура Зеленоградского административного округа города Москвы";"Зеленоградский административный округ";"район Старое Крюково";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Старое Крюково, город Зеленоград, корпус 814";"240";"[барьер двойной, бум для собак, скамья для собаководов, урна]";"да";"да";"nested data";"nested data";"{coordinates=[37.18591, 55.975826], type=Point}";"";
"272410548";"82076";"Префектура Зеленоградского административного округа города Москвы";"Зеленоградский административный округ";"район Крюково";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Крюково, город Зеленоград, корпус 1432";"1557";"[бум для собак, вышка-лестница (с перилами), скамья для собаководов, урна]";"нет";"да";"nested data";"nested data";"{coordinates=[37.155899, 55.990387], type=Point}";"{coordinates=[37.155899, 55.990387], type=Point}";
"272410586";"77";"Префектура Зеленоградского административного округа города Москвы";"Зеленоградский административный округ";"район Крюково";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Крюково, город Зеленоград, корпус 1603";"358";"[барьер двойной, бум для собак, вышка-лестница (с перилами), скамья для собаководов, урна]";"нет";"да";"nested data";"nested data";"{coordinates=[37.152333, 55.97434], type=Point}";"{coordinates=[37.152333, 55.97434], type=Point}";
"272410646";"18";"Префектура Зеленоградского административного округа города Москвы";"Зеленоградский административный округ";"район Крюково";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Крюково, город Зеленоград, корпус 1524";"367";"[барьер двойной, бум для собак, вышка-лестница (с перилами), скамья для собаководов, урна]";"нет";"да";"nested data";"nested data";"{coordinates=[37.158555, 55.982186], type=Point}";"{coordinates=[37.158555, 55.982186], type=Point}";
"272433377";"9";"Префектура Зеленоградского административного округа города Москвы";"Зеленоградский административный округ";"район Старое Крюково";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Старое Крюково, город Зеленоград, корпус 815";"442";"[барьер двойной, бум для собак, вышка-лестница (с перилами), информационный стенд, скамья для собаководов, тренировочный снаряд с покрышкой, урна]";"нет";"да";"nested data";"nested data";"{coordinates=[37.191525, 55.974816], type=Point}";"{coordinates=[37.191525, 55.974816], type=Point}";
"272459220";"84994";"Префектура Северо-Восточного административного округа города Москвы";"Северо-Восточный административный округ";"Бабушкинский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Бабушкинский, улица Искры, дом 7";"373";"[балансир для собак, барьер одинарный, барьер регулируемый, урна]";"нет";"да";"nested data";"nested data";"{coordinates=[37.669118, 55.861295], type=Point}";"";
"272459541";"49947";"Префектура Северо-Восточного административного округа города Москвы";"Северо-Восточный административный округ";"Бабушкинский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Бабушкинский, улица Чичерина, дом 12/2";"340";"[балансир для собак, барьер одинарный, барьер регулируемый, скамья для собаководов, урна]";"нет";"да";"nested data";"nested data";"{coordinates=[37.648648, 55.865672], type=Point}";"";
"272622243";"1";"Префектура Троицкого и Новомосковского административных округов города Москвы";"Троицкий административный округ";"поселение Кленовское";"Российская Федерация, город Москва, внутригородская территория поселение Кленовское, село Кленово, Октябрьская улица, дом 7";"200";"[горка-лестница (без перил), горка-мостик А-форма, тренировочный снаряд с покрышкой]";"нет";"да";"nested data";"nested data";"{coordinates=[37.345947, 55.32648], type=Point}";"";
"272622268";"1";"Департамент культуры города Москвы";"Западный административный округ";"район Филёвский Парк";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Кунцево, Рублёвское шоссе, дом 26, корпус 4";"675";"[балансир для собак, барьер одинарный, бум для собак, вышка-лестница (с перилами), скамья для собаководов, трамплин, тренировочный снаряд с покрышкой, урна]";"нет";"да";"nested data";"nested data";"{coordinates=[37.428639704, 55.747567311], type=Point}";"";
"272622273";"2";"Префектура Троицкого и Новомосковского административных округов города Москвы";"Новомосковский административный округ";"поселение Московский";"Российская Федерация, город Москва, внутригородская территория поселение Московский, город Московский, 1-й микрорайон, дом 12";"900";"[барьер тройной, бум для собак, входной элемент, горка-мостик А-форма, трамплин]";"нет";"да";"nested data";"nested data";"{coordinates=[37.34701, 55.604549], type=Point}";"";
"272622413";"2";"Департамент культуры города Москвы";"Западный административный округ";"район Проспект Вернадского";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Проспект Вернадского, улица Удальцова, дом 40";"590";"[барьер одинарный, бум для собак, вышка-лестница (с перилами), горка-лестница (без перил), туннель (нора), скамья для собаководов, трамплин, тренировочный снаряд с покрышкой, урна]";"да";"да";"nested data";"nested data";"{coordinates=[37.49668641, 55.685710524], type=Point}";"";
"272622448";"3";"Департамент культуры города Москвы";"Западный административный округ";"район Тропарёво-Никулино";"город Москва, улица Мичуринский Проспект, Олимпийская Деревня, дом 1, корпус 2";"314";"[барьер двойной, барьер кольца, входной элемент, горка-лестница (без перил), горка-мостик А-форма, информационный стенд, туннель (нора), скамья для собаководов, трап, урна]";"да";"да";"nested data";"nested data";"{coordinates=[37.471377496, 55.681289639], type=Point}";"";
"272622481";"3";"Префектура Троицкого и Новомосковского административных округов города Москвы";"Новомосковский административный округ";"поселение ""Мосрентген""";"Российская Федерация, город Москва, внутригородская территория поселение ""Мосрентген"", посёлок Завода Мосрентген, дом 19";"240";"[барьер одинарный, бум для собак, вышка-лестница (с перилами)]";"нет";"да";"nested data";"nested data";"{coordinates=[37.472474, 55.623981], type=Point}";"";
"272622484";"4";"Префектура Троицкого и Новомосковского административных округов города Москвы";"Новомосковский административный округ";"поселение Рязановское";"Российская Федерация, город Москва, внутригородская территория поселение Рязановское, посёлок Фабрики имени 1 Мая, дом 53";"450";"[барьер двойной, барьер одинарный, вышка-лестница (с перилами), скамья для собаководов, урна]";"да";"да";"nested data";"nested data";"{coordinates=[37.493984, 55.485211], type=Point}";"";
"272622486";"5";"Префектура Троицкого и Новомосковского административных округов города Москвы";"Новомосковский административный округ";"поселение Рязановское";"город Москва, поселение Рязановское, посёлок Знамя Октября, дом 29";"375";"[барьер двойной, барьер одинарный, горка-мостик А-форма, трамплин]";"нет";"да";"nested data";"nested data";"{coordinates=[37.539401, 55.476038], type=Point}";"";
"272622490";"6";"Префектура Троицкого и Новомосковского административных округов города Москвы";"Троицкий административный округ";"поселение Щаповское";"город Москва, поселение Щаповское, посёлок Щапово, дом 19";"1000";"[барьер змейка, барьер тройной, бум для собак, входной элемент, скамья для собаководов, трамплин, тренировочный снаряд с покрышкой, урна]";"нет";"да";"nested data";"nested data";"{coordinates=[37.403197, 55.417109], type=Point}";"";
"272624087";"7";"Префектура Троицкого и Новомосковского административных округов города Москвы";"Троицкий административный округ";"поселение Роговское";"Российская Федерация, город Москва, внутригородская территория поселение Роговское, посёлок Рогово, Юбилейная улица, дом 21";"1500";"[скамья для собаководов, трамплин, тренировочный снаряд с покрышкой, урна]";"нет";"да";"nested data";"nested data";"{coordinates=[37.070024, 55.212117], type=Point}";"";
"272624433";"11";"Департамент культуры города Москвы";"Северный административный округ";"Дмитровский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Дмитровский, улица Софьи Ковалевской, дом 2";"500";"[барьер тройной, бум для собак, вышка-лестница (с перилами), полоса препятствий, тренировочный снаряд с покрышкой]";"нет";"нет";"nested data";"nested data";"{coordinates=[37.532937, 55.876808], type=Point}";"";
"272625343";"13";"Департамент культуры города Москвы";"Северо-Восточный административный округ";"район Бибирево";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Бибирево, улица Корнейчука, дом 36А";"805";"[барьер змейка, барьер одинарный, бум для собак, горка-лестница (без перил), скамья для собаководов, урна]";"нет";"нет";"nested data";"nested data";"{coordinates=[37.624776, 55.896556], type=Point}";"";
"272626390";"14";"Департамент культуры города Москвы";"Восточный административный округ";"район Вешняки";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Вешняки, Вешняковская улица, дом 23, строение 23";"400";"[балансир для собак, барьер одинарный, бум для собак, входной элемент, горка-лестница (без перил), туннель (нора), полоса препятствий, скамья для собаководов, трамплин, урна]";"да";"нет";"nested data";"nested data";"{coordinates=[37.828712632, 55.730055242], type=Point}";"";
"272626573";"30";"Департамент культуры города Москвы";"Северо-Восточный административный округ";"район Южное Медведково";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Бабушкинский, Олонецкий проезд, дом 8";"452";"[барьер тройной, вышка-лестница (с перилами), полоса препятствий, скамья для собаководов, трап, тренировочный снаряд с покрышкой, урна]";"да";"нет";"nested data";"nested data";"{coordinates=[37.658115, 55.873738], type=Point}";"";
