"global_id";"ObjectName";"NameWinter";"PhotoWinter";"AdmArea";"District";"Address";"Email";"WebSite";"HelpPhone";"HelpPhoneExtension";"WorkingHoursWinter";"ClarificationOfWorkingHoursWinter";"HasEquipmentRental";"EquipmentRentalComments";"HasTechService";"TechServiceComments";"HasDressingRoom";"HasEatery";"HasToilet";"HasWifi";"HasCashMachine";"HasFirstAidPost";"HasMusic";"UsagePeriodWinter";"DimensionsWinter";"Lighting";"SurfaceTypeWinter";"Seats";"Paid";"PaidComments";"DisabilityFriendly";"ServicesWinter";"geoData";"geodata_center";
"global_id";"Название спортивного объекта";"Название спортивной зоны в зимний период";"Фотография в зимний период";"Административный округ";"Район";"Адрес";"Адрес электронной почты";"Адрес сайта";"Справочный телефон";"Добавочный номер";"График работы в зимний период";"Уточнение графика работы в зимний период";"Возможность проката оборудования";"Комментарии для проката оборудования";"Наличие сервиса технического обслуживания";"Комментарии для сервиса технического обслуживания";"Наличие раздевалки";"Наличие точки питания";"Наличие туалета";"Наличие точки Wi-Fi";"Наличие банкомата";"Наличие медпункта";"Наличие звукового сопровождения";"Период эксплуатации в зимний период";"Размеры в зимний период";"Освещение";"Покрытие в зимний период";"Количество оборудованных посадочных мест";"Форма посещения (платность)";"Комментарии к стоимости посещения";"Приспособленность для занятий инвалидов";"Услуги предоставляемые в зимний период";"geoData";"geodata_center";
"284508021";"Некоммерческое партнерство «Творческий центр Шаги»";"Зал спортивный";"nested data";"Северный административный округ";"район Западное Дегунино";"улица Ивана Сусанина, дом 4, корпус 5";"art-shagi@mail.ru";"www.art-shagi.ru";"(903) 002-92-92";"";"nested data";"";"нет";"";"нет";"";"да";"нет";"да";"да";"нет";"нет";"да";"01.01-31.12";"nested data";"освещение лампами накаливания";"специальное покрытие";"0";"платно";"Оздоровительная гимнастика, йога для взрослых";"не приспособлен";"общая физическая подготовка";"{coordinates=[37.528462976, 55.866989605], type=Point}";"{coordinates=[37.528462976, 55.866989605], type=Point}";
"407175195";"Досуговый центр «Центр Вешняки»";"Зал спортивный №3";"nested data";"Восточный административный округ";"район Вешняки";"улица Старый Гай, дом 8Ж";"gbu-mossovet@pvao.mos.ru";"mossovet.mos.ru";"(499) 373-35-78";"";"nested data";"";"нет";"";"нет";"";"да";"нет";"да";"нет";"нет";"нет";"нет";"01.01-31.12";"nested data";"смешанное освещение";"специальное покрытие";"0";"платно";"каратэ, кикбоксинг";"не приспособлен";"общая физическая подготовка";"{coordinates=[37.824642697, 55.74038695], type=Point}";"{coordinates=[37.824642697, 55.74038695], type=Point}";
"407175599";"Территориальное управлене Новогиреево ГБУ ООЦ им. Моссовета";"Зал спортивный";"nested data";"Восточный административный округ";"район Новогиреево";"Мартеновская улица, дом 30";"cdsnovo@mail.ru";"cdsnovo.ru/";"(495) 303-50-83";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"да";"нет";"нет";"нет";"нет";"01.01-31.12";"nested data";"освещение газоразрядными лампами";"деревянное покрытие";"0";"бесплатно";"";"не приспособлен";"общая физическая подготовка";"{coordinates=[37.80260356, 55.74882937], type=Point}";"{coordinates=[37.80260356, 55.74882937], type=Point}";
"407176194";"Физкультурно-оздоровительный комплекс «Центр Вешняки»";"зал спортивный №1";"nested data";"Восточный административный округ";"район Вешняки";"Вешняковская улица, дом 29Д";"mu_sdc@mail.ru";"центрвешняки.рус/";"(499) 373-02-22";"";"nested data";"";"нет";"";"нет";"";"да";"нет";"да";"нет";"нет";"нет";"нет";"01.01-31.12";"nested data";"освещение газоразрядными лампами";"специальное покрытие";"0";"платно";"Айкидо, дзю-дзюцу, офп, тхэквондо";"не приспособлен";"общая физическая подготовка";"{coordinates=[37.831620903, 55.722849387], type=Point}";"{coordinates=[37.831620903, 55.722849387], type=Point}";
"407176429";"Физкультурно-оздоровительный комплекс «Центр Вешняки»";"зал спортивный №2, «Борцовский зал-большой»";"nested data";"Восточный административный округ";"район Вешняки";"Вешняковская улица, дом 29Д";"mu_sdc@mail.ru";"центрвешняки.рус/";"(499) 373-02-22";"";"nested data";"";"нет";"";"нет";"";"да";"нет";"да";"нет";"нет";"нет";"нет";"01.01-31.12";"nested data";"освещение газоразрядными лампами";"специальное покрытие";"0";"платно";"самооборона,ушу,дзюдо,айкидо,спортивная борьба";"не приспособлен";"общая физическая подготовка";"{coordinates=[37.831620903, 55.722849387], type=Point}";"{coordinates=[37.831620903, 55.722849387], type=Point}";
"407176583";"Физкультурно-оздоровительный комплекс «Центр Вешняки»";"зал спортивный №3";"nested data";"Восточный административный округ";"район Вешняки";"Вешняковская улица, дом 29Д";"mu_sdc@mail.ru";"центрвешняки.рус/";"(499) 373-02-22";"";"nested data";"";"нет";"";"нет";"";"да";"нет";"да";"нет";"нет";"нет";"нет";"01.01-31.12";"nested data";"освещение газоразрядными лампами";"специальное покрытие";"0";"платно";"художественная гимнастика, хореография, черлидинг";"не приспособлен";"общая физическая подготовка";"{coordinates=[37.831620903, 55.722849387], type=Point}";"{coordinates=[37.831620903, 55.722849387], type=Point}";
"407176802";"Физкультурно-оздоровительный комплекс «Центр Вешняки»";"зал спортивный №4";"nested data";"Восточный административный округ";"район Вешняки";"Вешняковская улица, дом 29Д";"mu_sdc@mail.ru";"центрвешняки.рус/";"(499) 373-02-22";"";"nested data";"";"нет";"";"нет";"";"да";"нет";"да";"нет";"нет";"нет";"нет";"01.01-31.12";"nested data";"смешанное освещение";"специальное покрытие";"0";"платно";"ОФП";"не приспособлен";"общая физическая подготовка";"{coordinates=[37.831620903, 55.722849387], type=Point}";"{coordinates=[37.831620903, 55.722849387], type=Point}";
"407192328";"Фитнес-клуб «Мегаполис»";"Зал спортивный №1";"nested data";"Северный административный округ";"Савёловский район";"Вятская улица, дом 27, строение 12";"info@megapolisfit.ru";"megapolisfit.ru/?utm_campaign=maps&utm_medium=maps&utm_source=yandex";"(495) 775-88-89";"";"nested data";"";"нет";"";"нет";"";"да";"да";"да";"да";"да";"нет";"да";"01.01-31.12";"nested data";"освещение газоразрядными лампами";"специальное покрытие";"0";"платно";"";"частично приспособлен";"общая физическая подготовка";"{coordinates=[37.580535459, 55.797135645], type=Point}";"{coordinates=[37.580535459, 55.797135645], type=Point}";
"407192541";"Фитнес-клуб «Мегаполис»";"Зал спортивный №2";"nested data";"Северный административный округ";"Савёловский район";"Вятская улица, дом 27, строение 12";"info@megapolisfit.ru";"megapolisfit.ru/?utm_campaign=maps&utm_medium=maps&utm_source=yandex";"(495) 775-88-89";"";"nested data";"";"нет";"";"нет";"";"да";"да";"да";"да";"да";"нет";"да";"01.01-31.12";"nested data";"освещение газоразрядными лампами";"специальное покрытие";"0";"платно";"";"не приспособлен";"общая физическая подготовка";"{coordinates=[37.580235052, 55.797105426], type=Point}";"{coordinates=[37.580235052, 55.797105426], type=Point}";
